original_id,sample_id,timepoint,strain,sex,batch,slide_area,slide_number
o296521_1-NBH_27wpi,NBH_27,27,NBH,M,2,A1,V11M16-057
o296521_2-RML6_27wpi,RML6_27,27,RML6,M,2,B1,V11M16-057
o296521_3-RML6_TS,RML6_TS_1,TS,RML6,F,2,C1,V11M16-057
o296521_4-NBH_TS,NBH_TS_1,TS,NBH,F,2,D1,V11M16-057
o302661_1-NBH_30wpiF,NBH_30_1,30,NBH,F,3,A1,V11M16-055
o302661_2-RML6_30wpiF,RML6_30_1,30,RML6,F,3,B1,V11M16-055
o302661_3-NBH_TS_M,NBH_TS_2,TS,NBH,M,3,C1,V11M16-055
o302661_4-RML6_TS_M,RML6_TS_2,TS,RML6,M,3,D1,V11M16-055
o2885711-NBH_hyp_control,NBH_30_2,30,NBH,M,1,A1,V11M16-056
o2885712-ME7_hyp,ME7_30,30,ME7,M,1,B1,V11M16-056
o2885713-mNS_hyp,mNS_30,30,mNS,M,1,C1,V11M16-056
o2885714-RML6_hyp,RML6_30_2,30,RML6,M,1,D1,V11M16-056
